ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
TATTNALL-:-DISTRICT V,689,60,508,568,571,22,444,466,43,33,10,43,23,3,9,12,2,0,1,1,50,2,44,46,0.105633802816901,0.894366197183099,0.820422535211268,0.0472103004291846,0.952789699570816,0.0757042253521127,0.767441860465116,0.232558139534884,0.0211267605633803,0.25,0.75,0.00176056338028169,0,1,0.0809859154929578,0.0434782608695652,0.956521739130435,12
TATTNALL-:-EAST GLENNVILLE,1709,216,1182,1398,1303,71,975,1046,171,124,47,171,74,12,33,45,13,0,8,8,148,9,119,128,0.15450643776824,0.84549356223176,0.748211731044349,0.0678776290630975,0.932122370936903,0.122317596566524,0.725146198830409,0.274853801169591,0.0321888412017167,0.266666666666667,0.733333333333333,0.00572246065808298,0,1,0.0915593705293276,0.0703125,0.9296875,12
TATTNALL-:-MANASSAS,137,27,79,106,105,9,72,81,18,16,2,18,4,0,0,0,0,0,0,0,10,2,5,7,0.254716981132075,0.745283018867925,0.764150943396227,0.111111111111111,0.888888888888889,0.169811320754717,0.888888888888889,0.111111111111111,0,0,0,0,0,0,0.0660377358490566,0.285714285714286,0.714285714285714,12
TATTNALL-:-SHILOH,777,136,418,554,552,30,369,399,102,89,13,102,81,9,22,31,2,0,1,1,40,8,13,21,0.245487364620939,0.754512635379061,0.720216606498195,0.075187969924812,0.924812030075188,0.184115523465704,0.872549019607843,0.127450980392157,0.055956678700361,0.290322580645161,0.709677419354839,0.00180505415162455,0,1,0.0379061371841155,0.380952380952381,0.619047619047619,12
TAYLOR-:-PRECINCT 1,719,563,121,684,175,33,110,143,530,525,5,530,3,0,2,2,1,0,1,1,10,5,3,8,0.823099415204678,0.176900584795322,0.20906432748538,0.230769230769231,0.769230769230769,0.774853801169591,0.990566037735849,0.00943396226415094,0.00292397660818713,0,1,0.00146198830409357,0,1,0.0116959064327485,0.625,0.375,2
TAYLOR-:-PRECINCT 5,1573,352,930,1282,1243,162,829,991,186,170,16,186,20,2,5,7,13,1,4,5,111,17,76,93,0.274570982839314,0.725429017160686,0.773010920436818,0.163471241170535,0.836528758829465,0.145085803432137,0.913978494623656,0.0860215053763441,0.00546021840873635,0.285714285714286,0.714285714285714,0.00390015600624025,0.2,0.8,0.0725429017160686,0.182795698924731,0.817204301075269,2
TAYLOR-:-PRECINCT 6,1485,551,723,1274,896,97,620,717,463,442,21,463,21,5,10,15,7,1,3,4,98,6,69,75,0.432496075353218,0.567503924646782,0.562794348508634,0.135285913528591,0.864714086471409,0.363422291993721,0.954643628509719,0.0453563714902808,0.0117739403453689,0.333333333333333,0.666666666666667,0.00313971742543171,0.25,0.75,0.0588697017268446,0.08,0.92,2
TELFAIR-:-HELENA,637,162,412,574,409,32,327,359,167,124,43,167,18,2,5,7,0,0,0,0,43,4,37,41,0.282229965156794,0.717770034843206,0.625435540069686,0.0891364902506964,0.910863509749304,0.290940766550523,0.74251497005988,0.25748502994012,0.0121951219512195,0.285714285714286,0.714285714285714,0,0,0,0.0714285714285714,0.0975609756097561,0.902439024390244,8
TELFAIR-:-JACKSONVILLE,459,85,326,411,347,29,276,305,74,52,22,74,6,1,3,4,3,1,2,3,29,2,23,25,0.206812652068127,0.793187347931874,0.742092457420925,0.0950819672131148,0.904918032786885,0.180048661800487,0.702702702702703,0.297297297297297,0.0097323600973236,0.25,0.75,0.0072992700729927,0.333333333333333,0.666666666666667,0.0608272506082725,0.08,0.92,8
TELFAIR-:-LUMBER-CITY,627,135,404,539,381,35,273,308,190,94,96,190,9,0,5,5,2,0,1,1,45,6,29,35,0.250463821892393,0.749536178107607,0.571428571428571,0.113636363636364,0.886363636363636,0.352504638218924,0.494736842105263,0.505263157894737,0.00927643784786642,0,1,0.00185528756957328,0,1,0.0649350649350649,0.171428571428571,0.828571428571429,8
