ID,TOTAL,TOTAL_DEM,TOTAL_REP,TOTAL_REG,WHITE,WHITE_DEM,WHITE_REP,WHITE_REG,BLACK,BLACK_DEM,BLACK_REP,BLACK_REG,HISPANIC,HISPANIC_DEM,HISPANIC_REP,HISPANIC_REG,ASIAN,ASIAN_DEM,ASIAN_REP,ASIAN_REG,OTHER,OTHER_DEM,OTHER_REP,OTHER_REG,TOTAL_DEM_PER,TOTAL_REP_PER,WHITE_PER,WHITE_DEM_PER,WHITE_REP_PER,BLACK_PER,BLACK_DEM_PER,BLACK_REP_PER,HISPANIC_PER,HISPANIC_DEM_PER,HISPANIC_REP_PER,ASIAN_PER,ASIAN_DEM_PER,ASIAN_REP_PER,OTHER_PER,OTHER_DEM_PER,OTHER_REP_PER,DISTRICT
PEACH-:-FORT VALLEY 2,1679,983,384,1367,592,65,335,400,894,884,10,894,117,26,14,40,3,1,2,3,73,7,23,30,0.585467540202502,0.228707564026206,0.352590827873734,0.109797297297297,0.565878378378378,0.532459797498511,0.988814317673378,0.0111856823266219,0.0696843359142347,0.222222222222222,0.11965811965812,0.00178677784395474,0.333333333333333,0.666666666666667,0.0434782608695652,0.0958904109589041,0.315068493150685,2
PEACH-:-FORT VALLEY 3,1672,1376,207,1583,264,28,169,197,1354,1336,18,1354,23,4,3,7,4,2,0,2,27,6,17,23,0.822966507177034,0.123803827751196,0.157894736842105,0.106060606060606,0.640151515151515,0.809808612440191,0.986706056129985,0.0132939438700148,0.013755980861244,0.173913043478261,0.130434782608696,0.00239234449760766,0.5,0,0.0161483253588517,0.222222222222222,0.62962962962963,2
PEACH-:-POWERSVILLE,1123,310,522,832,784,84,450,534,220,210,10,220,33,7,11,18,7,2,4,6,79,7,47,54,0.276046304541407,0.464826357969724,0.69813000890472,0.107142857142857,0.573979591836735,0.195903829029386,0.954545454545455,0.0454545454545455,0.0293855743544078,0.212121212121212,0.333333333333333,0.006233303650935,0.285714285714286,0.571428571428571,0.0703472840605521,0.0886075949367089,0.594936708860759,2
PICKENS-:-APPALACHIAN,1808,171,1122,1293,1579,130,1010,1140,7,5,2,7,53,14,15,29,9,2,5,7,160,20,90,110,0.0945796460176991,0.620575221238938,0.873340707964602,0.0823305889803673,0.639645345155162,0.0038716814159292,0.714285714285714,0.285714285714286,0.0293141592920354,0.264150943396226,0.283018867924528,0.00497787610619469,0.222222222222222,0.555555555555556,0.0884955752212389,0.125,0.5625,11
PICKENS-:-HILL CITY,1660,123,1081,1204,1459,99,963,1062,4,3,1,4,32,6,16,22,15,1,8,9,150,14,93,107,0.0740963855421687,0.651204819277108,0.878915662650602,0.067854694996573,0.660041124057574,0.00240963855421687,0.75,0.25,0.0192771084337349,0.1875,0.5,0.00903614457831325,0.0666666666666667,0.533333333333333,0.0903614457831325,0.0933333333333333,0.62,11
PICKENS-:-HINTON,718,55,488,543,651,45,453,498,0,0,0,0,14,2,3,5,3,0,3,3,50,8,29,37,0.0766016713091922,0.67966573816156,0.906685236768802,0.0691244239631337,0.695852534562212,0,0,0,0.0194986072423398,0.142857142857143,0.214285714285714,0.00417827298050139,0,1,0.0696378830083566,0.16,0.58,11
PICKENS-:-JASPER,1641,189,989,1178,1398,136,874,1010,39,32,7,39,57,9,23,32,13,3,7,10,134,9,78,87,0.115173674588665,0.602681291895186,0.851919561243144,0.0972818311874106,0.625178826895565,0.0237659963436929,0.820512820512821,0.17948717948718,0.0347349177330896,0.157894736842105,0.403508771929825,0.00792199878123096,0.230769230769231,0.538461538461538,0.0816575258988422,0.0671641791044776,0.582089552238806,11
PICKENS-:-JERUSALEM,972,43,661,704,873,34,615,649,2,2,0,2,18,1,8,9,8,0,3,3,71,6,35,41,0.044238683127572,0.680041152263375,0.898148148148148,0.0389461626575029,0.70446735395189,0.00205761316872428,1,0,0.0185185185185185,0.0555555555555556,0.444444444444444,0.00823045267489712,0,0.375,0.0730452674897119,0.0845070422535211,0.492957746478873,11
PICKENS-:-LUDVILLE,540,21,367,388,500,19,335,354,0,0,0,0,7,2,5,7,2,0,2,2,31,0,25,25,0.0388888888888889,0.67962962962963,0.925925925925926,0.038,0.67,0,0,0,0.012962962962963,0.285714285714286,0.714285714285714,0.0037037037037037,0,1,0.0574074074074074,0,0.806451612903226,11
PICKENS-:-NELSON,1137,109,686,795,973,81,610,691,15,12,3,15,38,7,11,18,9,0,7,7,102,9,55,64,0.0958663148636764,0.603342128408091,0.855760773966579,0.0832476875642343,0.626927029804728,0.0131926121372032,0.8,0.2,0.0334212840809147,0.184210526315789,0.289473684210526,0.0079155672823219,0,0.777777777777778,0.0897097625329815,0.0882352941176471,0.53921568627451,11
